"time (s)","Pressure (Pa)"
0.00000,246.46319
0.01006,231.98308
0.02012,216.11370
0.03018,200.08498
0.04024,182.78506
0.05030,164.67663
0.06036,145.59537
0.07042,127.52465
0.08048,109.08300
0.09054,93.04016
0.10060,77.37885
0.11066,62.68165
0.12072,50.32614
0.13078,38.77857
0.14084,27.94934
0.15090,19.82132
0.16096,14.06618
0.17102,7.81715
0.18108,2.99130
0.19114,-1.56137
0.20120,-5.87452
0.21126,-10.64393
0.22132,-15.32507
0.23138,-19.11681
0.24144,-23.41396
0.25150,-26.67784
0.26156,-29.94119
0.27162,-32.62586
0.28168,-35.72819
0.29174,-38.54384
0.30180,-41.82573
0.31186,-45.14536
0.32192,-47.95373
0.33198,-50.36665
0.34204,-50.75506
0.35210,-51.18654
0.36216,-51.80579
0.37222,-50.30120
0.38228,-49.95650
0.39234,-49.74500
0.40240,-50.64784
0.41246,-49.33497
0.42252,-51.37590
0.43258,-51.89295
0.44264,-53.10220
0.45270,-52.26957
0.46276,-53.31467
0.47282,-53.34913
0.48288,-53.00442
0.49294,-53.62227
0.50300,-54.62769
0.51306,-56.62812
0.52312,-55.91253
0.53318,-57.29134
0.54324,-57.18283
0.55330,-58.40009
0.56336,-56.57768
0.57342,-59.81992
0.58348,-59.47521
0.59354,-61.71816
0.60360,-61.79137
0.61366,-65.06470
0.62372,-65.28369
0.63378,-68.04132
0.64384,-69.18836
0.65390,-71.88008
0.66396,-73.39905
0.67402,-74.91434
0.68408,-75.25905
0.69414,-75.70815
0.70420,-77.19842
0.71426,-76.49362
0.72432,-77.73113
0.73438,-77.90348
0.74444,-79.84087
0.75450,-78.29801
0.76456,-79.66118
0.77462,-79.35790
0.78468,-81.25377
0.79474,-80.48364
0.80480,-81.86347
0.81486,-82.11261
0.82492,-82.38226
0.83498,-81.86520
0.84504,-81.36919
0.85510,-81.99417
0.86516,-81.31315
0.87522,-81.60083
0.88528,-81.60083
0.89534,-81.76549
0.90540,-82.07159
0.91546,-81.61909
0.92552,-81.06120
0.93558,-79.51004
0.94564,-79.16416
0.95570,-76.99704
0.96576,-76.47407
0.97582,-73.70857
0.98588,-73.19152
0.99594,-72.06955
1.00600,-71.36640
1.01606,-70.79729
1.02612,-70.85862
1.03618,-70.16921
1.04624,-69.05465
1.05630,-66.05546
1.06636,-61.37227
1.07642,-54.12041
1.08648,-42.91753
1.09654,-27.21624
1.10660,-8.90809
1.11666,12.65805
1.12672,36.51116
1.13678,62.01924
1.14684,89.07786
1.15690,116.05448
1.16696,143.73396
1.17702,171.27603
1.18708,197.47352
1.19714,223.39432
1.20720,248.29062
1.21726,273.04507
1.22732,296.16171
1.23738,320.46332
1.24744,341.23556
1.25750,363.10337
1.26756,383.14186
1.27762,402.61689
1.28768,419.85208
1.29774,436.78687
1.30780,452.01775
1.31786,466.99789
1.32792,479.90958
1.33798,491.80186
1.34804,504.11929
1.35810,515.04510
1.36816,524.63457
1.37822,533.65664
1.38828,541.92953
1.39834,548.32729
1.40840,554.32962
1.41846,559.13548
1.42852,563.24896
1.43858,566.17894
1.44864,569.21806
1.45870,571.33673
1.46876,573.02253
1.47882,573.55430
1.48888,573.38194
1.49894,571.51048
1.50900,567.90382
1.51906,563.37645
1.52912,558.53449
1.53918,553.01923
1.54924,546.72863
1.55930,540.67831
1.56936,532.87299
1.57942,525.09881
1.58948,516.13652
1.59954,506.02838
1.60960,496.34383
1.61966,485.93009
1.62972,475.03262
1.63978,463.65740
1.64984,452.35414
1.65990,439.32917
1.66996,426.54052
1.68002,413.49175
1.69008,401.25477
1.70014,389.30491
1.71020,377.62264
1.72026,366.80878
1.73032,356.99157
1.74038,346.65046
1.75044,336.17235
1.76050,326.78953
1.77056,317.36738
1.78062,307.42027
1.79068,299.14738
1.80074,290.81957
1.81080,282.15226
1.82086,273.85938
1.83092,264.02783
1.84098,253.68672
1.85104,243.81124
1.86110,232.72337
1.87116,219.19978
1.88122,206.16001
1.89128,190.64834
1.90134,173.70683
1.91140,155.32299
1.92146,137.66518
1.93152,120.04645
1.94158,103.15597
1.95164,86.82444
1.96170,72.44904
1.97176,59.17176
1.98182,46.40059
1.99188,33.81890
2.00194,22.22868
2.01200,8.61759
